"","V1"
"872",7355.8798828125
"873",7368.2202148438
"874",7135.990234375
"875",7472.58984375
"876",7406.5200195313
"877",7494.169921875
"878",7541.4501953125
"879",7643.4501953125
"880",7720.25
"881",7514.4702148438
"882",7633.759765625
"883",7653.9799804688
"884",7678.240234375
"885",7624.919921875
"886",7531.9799804688
"887",6786.0200195313
"888",6906.919921875
"889",6582.3598632813
"890",6349.8999023438
"891",6675.3500976563
"892",6456.580078125
"893",6550.16015625
"894",6499.2700195313
"895",6734.8198242188
"896",6769.9399414063
"897",6776.5498046875
"898",6729.740234375
"899",6083.6899414063
"900",6162.4799804688
"901",6173.2299804688
"902",6249.1801757813
"903",6093.669921875
"904",6157.1298828125
"905",5903.4399414063
"906",6218.2998046875
"907",6404
"908",6385.8198242188
"909",6614.1801757813
"910",6529.58984375
"911",6597.5498046875
"912",6639.1401367188
"913",6673.5
"914",6856.9301757813
"915",6773.8798828125
"916",6741.75
"917",6329.9501953125
"918",6394.7099609375
"919",6228.8100585938
"920",6238.0498046875
"921",6276.1201171875
"922",6359.6401367188
"923",6741.75
"924",7321.0400390625
"925",7370.7797851563
"926",7466.8598632813
"927",7354.1298828125
"928",7419.2900390625
"929",7418.490234375
"930",7711.1098632813
"931",8424.26953125
"932",8181.3901367188
"933",7951.580078125
"934",8165.009765625
"935",8192.150390625
"936",8218.4599609375
"937",8180.48
"938",7780.44
"939",7624.91
"940",7567.15
"941",7434.39
"942",7032.85
"943",7068.48
"944",6951.8
"945",6753.12
"946",6305.8
"947",6568.23
"948",6184.71
"949",6295.73
"950",6322.69
"951",6297.57
"952",6199.71
"953",6308.52
"954",6334.73
"955",6580.63
"956",6423.76
"957",6506.07
"958",6308.53
"959",6488.76
"960",6376.71
"961",6534.88
"962",6719.96
"963",6763.19
"964",6707.26
"965",6884.64
"966",7096.28
"967",7047.16
"968",6978.23
"969",7037.58
"970",7193.25
"971",7272.72
"972",7260.06
"973",7361.66
"974",6792.83
"975",6529.17
"976",6467.07
"977",6225.98
"978",6300.86
"979",6329.7
"980",6321.2
"981",6351.8
"982",6517.31
"983",6512.71
"984",6543.2
"985",6517.18
"986",6281.2
"987",6371.3
"988",6398.54
"989",6519.67
"990",6734.95
"991",6721.98
"992",6710.63
"993",6595.41
"994",6446.47
"995",6495
"996",6676.75
"997",6644.13
"998",6601.96
"999",6625.56
"1000",6589.62
"1001",6556.1
"1002",6502.59
"1003",6576.69
"1004",6622.48
"1005",6588.31
"1006",6602.95
"1007",6652.23
"1008",6642.64
"1009",6585.53
"1010",6256.24
"1011",6274.58
"1012",6285.99
"1013",6290.93
"1014",6596.54
"1015",6596.11
"1016",6544.43
"1017",6476.71
"1018",6465.41
"1019",6489.19
"1020",6482.35
"1021",6487.16
"1022",6475.74
"1023",6495.84
"1024",6476.29
"1025",6474.75
"1026",6480.38
"1027",6486.39
"1028",6332.63
"1029",6334.27
"1030",6317.61
"1031",6377.78
"1032",6388.44
"1033",6361.26
"1034",6376.13
"1035",6419.66
"1036",6461.01
"1037",6530.14
"1038",6453.72
"1039",6385.62
"1040",6409.22
"1041",6411.27
"1042",6371.27
"1043",6359.49
"1044",5738.35
"1045",5648.03
"1046",5575.55
"1047",5554.33
"1048",5623.54
"1049",4871.49
"1050",4451.87
"1051",4602.17
"1052",4365.94
"1053",4347.11
"1054",3880.76
"1055",4009.97
"1056",3779.13
"1057",3820.72
"1058",4257.42
"1059",4278.84645524
"1060",4017.26845712
"1061",4214.67193177
"1062",4139.8780641
"1063",3894.1309069
"1064",3956.89386975
"1065",3753.99482663
"1066",3521.10172384
"1067",3419.93720035
"1068",3476.11471452
"1069",3614.23427278
"1070",3502.65599577
"1071",3424.58807495
"1072",3486.95014412
"1073",3313.67725772
"1074",3242.48476281
"1075",3236.76164502
"1076",3252.83902595
"1077",3545.86476058
"1078",3696.05912776
"1079",3745.95076478
"1080",4134.44120304
"1081",3896.54371704
"1082",4014.18251388
"1083",3998.98034184
"1084",4078.59919478
"1085",3815.49060966
"1086",3857.29751969
"1087",3654.83353854
"1088",3923.91859424
"1089",3820.40868219
"1090",3865.95257679
"1091",3742.70033544
"1092",3843.51996727
"1093",3943.40933686
"1094",3836.74131867
"1095",3857.71761887
"1096",3845.19446017
"1097",4076.63268458
"1098",4025.24828708
"1099",4030.84799935
"1100",4035.29636921
"1101",3678.92468128
"1102",3687.3654818
"1103",3661.30098975
"1104",3552.95306759
"1105",3706.05222041
"1106",3630.67522467
"1107",3655.00688578
"1108",3678.56397636
"1109",3657.83943502
"1110",3728.56836493
"1111",3601.0135915
"1112",3576.03243928
"1113",3604.57705248
"1114",3585.12306636
"1115",3600.86550122
"1116",3599.7658879
"1117",3602.46043861
"1118",3583.96576317
"1119",3470.45054223
"1120",3448.11702209
"1121",3486.18175093
"1122",3457.79274724
"1123",3487.94538683
"1124",3521.06078726
"1125",3464.01332586
"1126",3459.15414635
"1127",3466.35743916
"1128",3413.7677183
"1129",3399.47164359
"1130",3666.78035061
"1131",3671.20370545
"1132",3690.18824383
"1133",3648.43062774
"1134",3653.52864497
"1135",3632.07060268
"1136",3616.88097021
"1137",3620.81075285
"1138",3629.78749138
"1139",3673.83629289
"1140",3915.71447331
"1141",3947.09440657
"1142",3999.82050882
"1143",3954.1182433
"1144",4005.52660406
"1145",4142.52692999
"1146",3810.42743065
"1147",3882.69629339
"1148",3854.35793575
"1149",3851.04747978
"1150",3854.78528208
"1151",3859.58375221
"1152",3864.41510673
"1153",3847.17569934
"1154",3761.55701842
"1155",3896.37502308
"1156",3903.9425832
"1157",3911.4842891
"1158",3901.13162355
"1159",3963.31374243
"1160",3951.59982769
"1161",3905.22731979
"1162",3909.15620907
"1163",3906.71716859
"1164",3924.369118
"1165",3960.91118728
"1166",4048.72590374
"1167",4025.22897966
"1168",4032.50738522
"1169",4071.19020004
"1170",4087.47629856
"1171",4029.32690706
"1172",4023.96816173
"1173",4035.82635079
"1174",4022.1682822
"1175",3963.07065416
"1176",3985.08080287
"1177",4087.06622992
"1178",4069.10714977
"1179",4098.37454059
"1180",4106.66008466
"1181",4105.40429618
"1182",4158.18307045
"1183",4879.87782845
"1184",4973.02181522
"1185",4922.79878778
"1186",5036.68110011
"1187",5059.81718799
"1188",5198.89699014
"1189",5289.77104039
"1190",5204.95837847
"1191",5324.5518687
"1192",5064.48767243
"1193",5089.53891201
"1194",5096.58656276
"1195",5167.72236684
"1196",5067.10847228
"1197",5235.55941893
"1198",5251.93818854
"1199",5298.38569881
"1200",5303.81261613
"1201",5337.8861323
"1202",5314.5314532
"1203",5399.36541009
"1204",5572.36206051
"1205",5464.86664182
"1206",5210.51555862
"1207",5279.34821147
"1208",5268.29106346
"1209",5285.13900822
"1210",5247.35253746
"1211",5350.72669668
"1212",5402.69709069
"1213",5505.28367176
"1214",5768.28940693
"1215",5831.16747167
"1216",5795.70842926
"1217",5746.80700343
"1218",5829.50151628
"1219",5982.45732286
"1220",6174.52868876
"1221",6378.8489737
"1222",7204.77169716
"1223",6972.37152291
"1224",7814.91513992
"1225",7994.41615632
"1226",8205.16749484
"1227",7884.90929094
"1228",7343.89571659
"1229",7271.20790408
"1230",8197.68969114
"1231",7978.30907244
"1232",7963.32777911
"1233",7680.06654589
"1234",7881.84672105
"1235",7987.37156583
"1236",8052.54385907
"1237",8673.21603511
"1238",8805.7783766
"1239",8719.9617362
"1240",8659.48775584
"1241",8319.47222898
"1242",8574.50164907
"1243",8564.01647182
"1244",8742.95810038
"1245",8208.99482964
"1246",7707.77077085
"1247",7824.23153913
"1248",7822.02338228
"1249",8043.95135807
"1250",7954.12772355
"1251",7688.07711075
"1252",8000.32982299
"1253",7927.71435114
"1254",8145.85747373
"1255",8230.92383068
"1256",8693.83281543
"1257",8838.37523367
"1258",8994.48801293
"1259",9320.35218253
"1260",9081.76285149
"1261",9273.52176614
"1262",9527.16035008
"1263",10144.5567168
"1264",10701.691013
"1265",10855.3710156
"1266",11011.1024485
"1267",11790.916533
"1268",13016.2317442
"1269",11182.8062855
"1270",12407.331998
"1271",11959.3709764
"1272",10817.1555981
"1273",10583.1345195
"1274",10801.6779238
"1275",11961.2693412
"1276",11215.4375483
"1277",10978.4599518
"1278",11208.5508454
"1279",11450.8467553
"1280",12285.958217
"1281",12573.8129407
"1282",12156.5126313
"1283",11358.661752
"1284",11815.9866867
"1285",11392.3793357
"1286",10256.0582756
"1287",10895.0893874
"1288",9477.64204235
"1289",9693.80272448
"1290",10666.4828491
"1291",10530.7326264
"1292",10767.1395226
"1293",10599.1053965
"1294",10343.1061684
"1295",9900.76801058
"1296",9811.92618837
"1297",9911.84226491
"1298",9870.30353766
"1299",9477.67767811
"1300",9552.86043541
"1301",9519.14591371
"1302",9607.42368665
"1303",10085.6277491
"1304",10399.6694229
"1305",10518.1746772
"1306",10821.7265103
"1307",10970.1842157
"1308",11805.6537253
"1309",11478.1693461
"1310",11941.9683406
"1311",11966.407405
"1312",11862.93676
"1313",11354.0242177
"1314",11523.5793784
"1315",11382.6159562
"1316",10895.8304358
"1317",10051.7039313
"1318",10311.545429
"1319",10374.3393471
"1320",10231.7438454
"1321",10345.8103795
"1322",10916.0538702
"1323",10763.2326304
"1324",10138.049355
"1325",10131.0561021
"1326",10407.965329
"1327",10159.9605385
"1328",10138.517665
"1329",10370.8201605
"1330",10185.4998997
"1331",9754.42327325
"1332",9510.20054413
"1333",9598.17364826
"1334",9630.66384768
"1335",9757.97031807
"1336",10346.7607927
"1337",10623.5401172
"1338",10594.4933536
"1339",10575.533284
"1340",10353.3025592
"1341",10517.254784
"1342",10441.275979
"1343",10334.9741628
"1344",10115.9757913
"1345",10178.3718893
"1346",10410.1268031
"1347",10360.5472773
"1348",10358.0491621
"1349",10347.7129074
"1350",10276.7935649
"1351",10241.2721545
"1352",10198.2484072
"1353",10266.4149694
"1354",10181.6413094
"1355",10019.7169101
"1356",10070.3921064
"1357",9729.32376435
"1358",8620.56642733
"1359",8486.99297206
"1360",8118.96756783
"1361",8251.84555744
